Date,PageViews,Visits
14/06/2017,3089,1397
15/06/2017,3084,1360
16/06/2017,3012,1239
17/06/2017,227,93
18/06/2017,186,93
19/06/2017,3638,1552
20/06/2017,3358,1439
21/06/2017,3612,1430
22/06/2017,3642,1436
23/06/2017,2611,1252
24/06/2017,154,83
25/06/2017,241,143
26/06/2017,3677,1506
27/06/2017,3449,1491
28/06/2017,3397,1446
29/06/2017,3221,1348
30/06/2017,3144,1315
01/07/2017,143,80
02/07/2017,303,136
03/07/2017,3185,1214
04/07/2017,3714,1530
05/07/2017,3904,1622
06/07/2017,4110,1608
07/07/2017,3390,1444
08/07/2017,216,102
09/07/2017,328,155
10/07/2017,4608,1833
11/07/2017,4062,1572
12/07/2017,3609,1441
13/07/2017,3578,1409
14/07/2017,3285,1283
15/07/2017,167,70
16/07/2017,246,135
17/07/2017,4586,1709
18/07/2017,3824,1578
19/07/2017,3415,1362
20/07/2017,3794,1458
21/07/2017,3124,1246
22/07/2017,179,98
23/07/2017,238,134
24/07/2017,4285,1600
25/07/2017,4425,1494
26/07/2017,4256,1498
27/07/2017,3461,1421
28/07/2017,3113,1322
29/07/2017,227,77
30/07/2017,295,120
31/07/2017,4485,1695
01/08/2017,4302,1620
02/08/2017,3743,1429
03/08/2017,3712,1489
04/08/2017,3251,1226
05/08/2017,891,111
06/08/2017,232,101
07/08/2017,3863,1497
08/08/2017,3676,1455
09/08/2017,3976,1403
10/08/2017,3713,1490
11/08/2017,3508,1346
12/08/2017,291,105
13/08/2017,215,103
14/08/2017,4197,1490
15/08/2017,4534,1599
16/08/2017,3962,1425
17/08/2017,3775,1370
18/08/2017,3327,1235
19/08/2017,157,73
20/08/2017,232,104
21/08/2017,4387,1601
22/08/2017,3845,1446
23/08/2017,3968,1371
24/08/2017,3243,1326
25/08/2017,2815,1122
26/08/2017,225,89
27/08/2017,179,74
28/08/2017,570,250
29/08/2017,3448,1486
30/08/2017,4704,1673
31/08/2017,3532,1535
01/09/2017,3014,1289
02/09/2017,256,129
03/09/2017,326,140
04/09/2017,4643,1787
05/09/2017,4449,1749
06/09/2017,3778,1530
07/09/2017,3739,1516
08/09/2017,3602,1359
09/09/2017,143,81
10/09/2017,290,151
11/09/2017,4568,1704
12/09/2017,3498,1459
13/09/2017,3535,1496
14/09/2017,3786,1514
15/09/2017,3240,1367
16/09/2017,172,78
17/09/2017,317,145
18/09/2017,4050,1639
19/09/2017,3412,1486
20/09/2017,4056,1518
21/09/2017,3396,1417
22/09/2017,3065,1299
23/09/2017,190,87
24/09/2017,270,122
25/09/2017,3831,1660
26/09/2017,4093,1633
27/09/2017,3399,1487
28/09/2017,3387,1434
29/09/2017,3731,1483
30/09/2017,172,88
01/10/2017,411,167
02/10/2017,3751,1602
03/10/2017,3262,1388
04/10/2017,4189,1566
05/10/2017,3717,1640
06/10/2017,3316,1500
07/10/2017,224,113
08/10/2017,427,188
09/10/2017,3808,1698
10/10/2017,4009,1613
11/10/2017,3935,1636
12/10/2017,3997,1598
13/10/2017,3237,1460
14/10/2017,191,109
15/10/2017,347,143
16/10/2017,4469,1822
17/10/2017,4192,1670
18/10/2017,4389,1858
19/10/2017,3986,1734
20/10/2017,3326,1482
21/10/2017,208,113
22/10/2017,391,160
23/10/2017,3739,1589
24/10/2017,3717,1530
25/10/2017,3684,1515
26/10/2017,3490,1430
27/10/2017,3282,1262
28/10/2017,243,113
29/10/2017,315,162
30/10/2017,4288,1667
31/10/2017,4027,1763
01/11/2017,3880,1651
02/11/2017,3915,1588
03/11/2017,3485,1564
04/11/2017,237,115
05/11/2017,360,170
06/11/2017,3985,1694
07/11/2017,3900,1687
08/11/2017,3481,1600
09/11/2017,3251,1643
10/11/2017,3374,1532
11/11/2017,256,143
12/11/2017,352,187
13/11/2017,4006,1829
14/11/2017,3472,1712
15/11/2017,4340,1883
16/11/2017,4881,2113
17/11/2017,3603,1729
18/11/2017,304,166
19/11/2017,354,195
20/11/2017,4708,2087
21/11/2017,4784,1994
22/11/2017,4162,1930
23/11/2017,3879,1806
24/11/2017,3646,1567
25/11/2017,231,143
26/11/2017,456,205
27/11/2017,4338,2060
28/11/2017,4211,1917
29/11/2017,3935,1837
30/11/2017,3794,1781
